"","Age","DatasetHippo","Age:DatasetHippo"
"Excit",0.185799155482224,3.58593294105667e-71,0.751082843431794
"Inhib",0.108186627758256,2.65791607650925e-16,0.0533063487308864
"mixedNeu",0.0461068560535181,3.77817120844143e-22,0.974957167626931
"NPC",0.999999999999998,0.00195017067162474,0.0521027223492896
"Oligo",0.999870840891749,1.13975905756722e-18,0.844416237967849
"OPC",0.30548088645647,0.971808653688993,0.473859628113304
"Astro",0.0856837941275819,1.27240279904735e-19,0.154892797529898
"Micro",0.944795527655914,1.14311900031812e-09,0.679303459461324
