"","DxSchizo","DxMDD","DxBipolar","DatasetHippo","DxSchizo:DatasetHippo"
"Excit",0.64901084772041,0.00585280340503175,0.608429731958389,5.23526324297503e-138,0.371906123420773
"Inhib",0.000624181628968452,0.00496678378805181,0.150336281230954,2.50480230859072e-31,0.2098372829865
"mixedNeu",0.392322956518221,0.0086845114479555,0.244375210015135,3.04241173618744e-61,0.857531934706979
"NPC",1,0.999999999999999,0.999999999999998,0.00188874239848002,0.497812998709101
"Oligo",0.999854014321296,0.999932157686818,0.99991034903481,5.25617730954895e-57,0.566528238082297
"OPC",0.0623904153062112,0.938234169044186,0.915269491409181,0.234903989139469,0.643694202512754
"Astro",0.0584905081235127,0.0238841913911119,0.202364489865661,8.65742056154214e-64,0.894478653734319
"Micro",0.932668866769411,0.949340751169678,0.933089424122093,1.4067172607369e-31,0.143241115995567
