gencodeID,Symbol,gencodeTx,AveExpr,t,P.Value,adj.P.Val,logFC,Length,ensemblID,gene_type,EntrezID
ENSG00000269028.3,MTRNR2L12,ENST00000600213.3,3.76388234875654,-19.1932755270525,3.85141996360563e-49,8.24974156204326e-45,-8.29988308703073,1049,ENSG00000269028,protein_coding,100462981
ENSG00000198121.13,LPAR1,ENST00000374431.7;ENST00000374430.6;ENST00000358883.8;ENST00000541779.5;ENST00000441240.1,3.79908633535594,-17.55649168183,6.28014186702322e-44,1.34520638791637e-39,-5.3188073643222,4159,ENSG00000198121,protein_coding,1902
ENSG00000136541.14,ERMN,ENST00000410096.5;ENST00000397283.6;ENST00000409395.3;ENST00000420719.6;ENST00000420317.5;ENST00000411762.5;ENST00000409216.5;ENST00000409925.1;ENST00000419116.2,4.43552957910519,-17.1141265337841,1.66723016228301e-42,3.57120700761021e-38,-6.32273258900625,4393,ENSG00000136541,protein_coding,57471
ENSG00000168314.17,MOBP,ENST00000451925.5;ENST00000428261.5;ENST00000420739.5;ENST00000415443.5;ENST00000447324.5;ENST00000383754.7;ENST00000436143.6;ENST00000441980.6;ENST00000311042.10;ENST00000452959.6;ENST00000424090.5;ENST00000442631.5;ENST00000479860.1,5.47077018298726,-15.967013004719,8.64901195811582e-39,1.85261836142841e-34,-5.74718060478718,9237,ENSG00000168314,protein_coding,4336
ENSG00000155849.15,ELMO1,ENST00000396045.7;ENST00000310758.8;ENST00000396040.6;ENST00000442504.5;ENST00000497024.1;ENST00000487843.1;ENST00000448602.5;ENST00000464262.6;ENST00000420636.5;ENST00000472359.1;ENST00000433246.5;ENST00000487336.1;ENST00000424212.1;ENST00000455119.5;ENST00000455879.5;ENST00000463390.1;ENST00000453399.5;ENST00000445322.1;ENST00000479447.1,4.17639714281113,-15.616806049253,1.19074753697573e-37,2.55058122420202e-33,-3.58879539498761,9570,ENSG00000155849,protein_coding,9844
ENSG00000064787.13,BCAS1,ENST00000448484.5;ENST00000371435.6;ENST00000395961.7;ENST00000422805.1,4.82814164748388,-15.2077921426791,2.55597815052769e-36,5.47490519843032e-32,-4.99961452928932,8186,ENSG00000064787,protein_coding,8537
ENSG00000210082.2,MT-RNR2,ENST00000387347.2,14.6634986143842,-14.8924546308544,2.72252001411068e-35,5.83163787022507e-31,-6.97253668377946,1559,ENSG00000210082,Mt_rRNA,NA
ENSG00000109458.8,GAB1,ENST00000262995.8;ENST00000262994.8;ENST00000514639.5;ENST00000515366.5;ENST00000505913.5;ENST00000515388.1;ENST00000509992.1;ENST00000511836.1;ENST00000512843.1;ENST00000507334.1;ENST00000507070.5;ENST00000510615.1;ENST00000508833.1;ENST00000511109.1,4.52402686141384,-14.6636125629372,1.51590123957996e-34,3.24706045518027e-30,-4.18240238199947,10119,ENSG00000109458,protein_coding,2549
ENSG00000164741.14,DLC1,ENST00000276297.8;ENST00000358919.6;ENST00000510318.5;ENST00000512044.6;ENST00000520226.5;ENST00000521730.1;ENST00000513883.5;ENST00000510250.2;ENST00000509922.5;ENST00000503161.6;ENST00000515225.1;ENST00000506171.1;ENST00000316609.9;ENST00000511869.1;ENST00000517868.2;ENST00000631382.1;ENST00000517333.1;ENST00000529018.1,4.31558323489553,-14.2815430722578,2.662752952335e-33,5.70361682390157e-29,-3.19167379667512,12794,ENSG00000164741,protein_coding,10395
ENSG00000189058.8,APOD,ENST00000343267.7;ENST00000458447.5;ENST00000421243.5;ENST00000453131.1;ENST00000463719.1,4.00336085245008,-14.191774642492,5.21949730381004e-33,1.11801632247611e-28,-5.0212622395868,2197,ENSG00000189058,protein_coding,347
